         ps    a    b    sum_out    c_out      
       9000   50   50         a0        0 
      19000   20   30         50        0 
      29000   58   57         af        0 
      39000   20   59         79        0 
      49000   36   18         4e        0 
      59000   52   25         77        0 
      69000   76   23         99        0 
      79000   51   28         79        0 
      89000   12   30         42        0 
      99000   20   40         60        0 
     109000   80   65         e5        0 
     119000   23   61         84        0 
     129000   10   20         30        0 
     139000   20   30         50        0 
     149000   30   40         70        0 
     159000   50   40         90        0 
     169000   80   90         10        1 
     179000   70   60         d0        0 
     189000   90   55         e5        0 
     199000   20   05         25        0 
     209000   10   90         a0        0 
