         ps   opcode   in_a   in_b    alu_out   alu_zero  alu_carry        
       9000        1     10     20         30          0          0 
      19000        1     ff     01         00          1          1 
      29000        2     ff     fe         01          0          0 
      39000        3     01     00         02          0          0 
      49000        4     01     00         00          1          0 
      59000        5     03     02         03          0          0 
      69000        6     ff     07         07          0          0 
      79000        7     0a     0c         06          0          0 
      89000        8     ff     00         7f          0          0 
      99000        9     ff     00         fe          0          1 
     109000        a     77     00         88          0          0 
     119000        b     77     00         89          0          0 
     129000        b     00     00         00          1          1 
     139000        a     fX     00         0X          x          0 
     149000        c     00     00         00          1          0 
